Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Doomsday: Last Survivors,Mixed,(287),"['Massively Multiplayer, RPG, Strategy']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Massively Multiplayer, RPG, Strategy']",IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,"26 Jun, 2023",https://store.steampowered.com/app/2439510/Doomsday_Last_Survivors/?snr=1_7_7_7000_150_6,Free
Titanfall® 2,Overwhelmingly Positive,"(180,310)",['Action'],"['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",['Action'],Respawn Entertainment,Electronic Arts,"28 Oct, 2016",https://store.steampowered.com/app/1237970/Titanfall_2/?snr=1_7_7_7000_150_6,$29.99
They Are Billions,Very Positive,"(40,253)",['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Tablet']",['Strategy'],Numantian Games,Numantian Games,"18 Jun, 2019",https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_7000_150_6,$29.99
X4: Foundations,Mostly Positive,"(15,644)","['Action, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Action, Simulation, Strategy']",Egosoft,Egosoft,"30 Nov, 2018",https://store.steampowered.com/app/392160/X4_Foundations/?snr=1_7_7_7000_150_6,$22.99
Grand Theft Auto: San Andreas – The Definitive Edition,Mostly Positive,"(3,871)","['Action, Adventure']",['Single-player'],"['Action, Adventure']",Rockstar Games,Rockstar Games,"19 Jan, 2023",https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_7000_150_6,$59.99
Scrap Mechanic,Very Positive,"(93,540)","['Action, Adventure, Indie, Simulation, Early Access']","['Single-player', 'Online Co-op', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","['Action, Adventure, Indie, Simulation, Early Access']",Axolot Games,Axolot Games,"20 Jan, 2016",https://store.steampowered.com/app/387990/Scrap_Mechanic/?snr=1_7_7_7000_150_6,$19.99
Total War: ROME REMASTERED,Mostly Positive,"(9,393)",['Strategy'],"['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']",['Strategy'],Creative Assembly,SEGA,"29 Apr, 2021",https://store.steampowered.com/app/885970/Total_War_ROME_REMASTERED/?snr=1_7_7_7000_150_6,$24.99
The Lord of the Rings Online™,Very Positive,"(18,573)","['Action, Adventure, Free to Play, Massively Multiplayer, RPG']","['MMO', 'In-App Purchases']","['Action, Adventure, Free to Play, Massively Multiplayer, RPG']","Standing Stone Games, LLC","Standing Stone Games, LLC","6 Jun, 2012",https://store.steampowered.com/app/212500/The_Lord_of_the_Rings_Online/?snr=1_7_7_7000_150_6,Free
Yi Xian: The Cultivation Card Game,Mostly Positive,"(3,922)","['Casual, Indie, Strategy, Free to Play']","['Single-player', 'Online PvP', 'In-App Purchases']","['Casual, Indie, Strategy, Free to Play']",Darksun Studio,Gamera Games,"22 Jan, 2024",https://store.steampowered.com/app/1948800/Yi_Xian_The_Cultivation_Card_Game/?snr=1_7_7_7000_150_6,Free
Way of the Hunter,Mostly Positive,"(4,973)","['Adventure, Simulation, Sports']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Simulation, Sports']",Nine Rocks Games,THQ Nordic,"16 Aug, 2022",https://store.steampowered.com/app/1288320/Way_of_the_Hunter/?snr=1_7_7_7000_150_6,$18.99
Neverwinter,Mostly Positive,"(37,250)","['Action, Adventure, Massively Multiplayer, RPG, Free to Play']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Includes level editor']","['Action, Adventure, Massively Multiplayer, RPG, Free to Play']",Cryptic Studios,Gearbox Publishing,"5 Dec, 2013",https://store.steampowered.com/app/109600/Neverwinter/?snr=1_7_7_7000_150_6,Free
Call of Duty®: WWII,Mixed,"(27,078)",['Action'],"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on TV']",['Action'],Sledgehammer Games,Activision,"3 Nov, 2017",https://store.steampowered.com/app/476600/Call_of_Duty_WWII/?snr=1_7_7_7000_150_6,$59.99
Graveyard Keeper,Very Positive,"(30,094)","['Adventure, Indie, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Adventure, Indie, RPG, Simulation']",Lazy Bear Games,tinyBuild,"15 Aug, 2018",https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_7000_150_6,$10.49
A Way Out,Very Positive,"(38,089)","['Action, Adventure, Indie']","['Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Action, Adventure, Indie']",Hazelight,Electronic Arts,"23 Mar, 2018",https://store.steampowered.com/app/1222700/A_Way_Out/?snr=1_7_7_7000_150_6,$29.99
Longvinter,Mostly Positive,"(4,498)","['Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements']","['Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access']",Uuvana Studios,Uuvana Studios,"24 Feb, 2022",https://store.steampowered.com/app/1635450/Longvinter/?snr=1_7_7_7000_150_6,$7.41
Railroader,Overwhelmingly Positive,"(1,101)","['Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op', 'Steam Cloud']","['Simulation, Strategy, Early Access']",Giraffe Lab LLC,Giraffe Lab LLC,"7 Dec, 2023",https://store.steampowered.com/app/1683150/Railroader/?snr=1_7_7_7000_150_6,$14.99
WORLD OF FINAL FANTASY®,Mostly Positive,"(2,547)",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",['RPG'],Square Enix,Square Enix,"21 Nov, 2017",https://store.steampowered.com/app/552700/WORLD_OF_FINAL_FANTASY/?snr=1_7_7_7000_150_6,$7.99
Operation: Tango,Very Positive,"(5,520)","['Adventure, Casual']","['Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Casual']",Clever Plays,Clever Plays,"1 Jun, 2021",https://store.steampowered.com/app/1335790/Operation_Tango/?snr=1_7_7_7000_150_6,$9.99
Assassin’s Creed® IV Black Flag™,Very Positive,"(55,444)","['Action, Adventure']","['Single-player', 'In-App Purchases']","['Action, Adventure']",Ubisoft Montreal,Ubisoft,Ubisoft Montreal,https://store.steampowered.com/app/242050/Assassins_Creed_IV_Black_Flag/?snr=1_7_7_7000_150_6,$31.99
Sprocket,Very Positive,"(7,798)","['Action, Indie, Simulation, Early Access']","['Single-player', 'Steam Cloud']","['Action, Indie, Simulation, Early Access']",Hamish Dunn,Hamish Dunn,"26 Aug, 2021",https://store.steampowered.com/app/1674170/Sprocket/?snr=1_7_7_7000_150_6,$19.99
Volcano Princess,Overwhelmingly Positive,"(27,399)","['Indie, RPG, Simulation']","['Single-player', 'Steam Achievements']","['Indie, RPG, Simulation']",养蛋人 Egg Hatcher,Gamera Games,"21 Apr, 2023",https://store.steampowered.com/app/1669980/Volcano_Princess/?snr=1_7_7_7000_150_6,$10.99
Don't Starve,Overwhelmingly Positive,"(89,149)","['Adventure, Indie, Simulation']","['Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Adventure, Indie, Simulation']",Klei Entertainment,Klei Entertainment,"23 Apr, 2013",https://store.steampowered.com/app/219740/Dont_Starve/?snr=1_7_7_7000_150_6,$5.79
Heretic's Fork,Very Positive,"(1,951)","['Action, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action, Strategy']",9FingerGames,Ravenage Games,"13 Sep, 2023",https://store.steampowered.com/app/2181610/Heretics_Fork/?snr=1_7_7_7000_150_6,$4.51
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,Very Positive,"(17,196)","['Action, Casual, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'In-App Purchases']","['Action, Casual, Strategy']",PopCap,Electronic Arts,"16 May, 2022",https://store.steampowered.com/app/1922560/Plants_vs_Zombies_Garden_Warfare_2_Deluxe_Edition/?snr=1_7_7_7000_150_6,$29.99
Planet Coaster,Very Positive,"(50,954)","['Action, Adventure, Casual, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Action, Adventure, Casual, Simulation, Strategy']",Frontier Developments,Frontier Developments,"17 Nov, 2016",https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_7000_150_6,$20.99
RoboCop: Rogue City,Very Positive,"(6,307)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Action, Adventure']",Teyon,Nacon,"2 Nov, 2023",https://store.steampowered.com/app/1681430/RoboCop_Rogue_City/?snr=1_7_7_7000_150_6,$24.99
Company of Heroes 2,Very Positive,"(63,159)",['Strategy'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats']",['Strategy'],Relic Entertainment,SEGA,"25 Jun, 2013",https://store.steampowered.com/app/231430/Company_of_Heroes_2/?snr=1_7_7_7000_150_6,$17.99
BIGFOOT,Very Positive,"(14,292)","['Action, Adventure, Indie, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","['Action, Adventure, Indie, Early Access']",CyberLight Game Studio,CyberLight Game Studio,"31 Jan, 2017",https://store.steampowered.com/app/509980/BIGFOOT/?snr=1_7_7_7000_150_6,$19.99
Need for Speed™ Heat,Very Positive,"(81,738)","['Action, Adventure, Racing, Sports']","['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on Tablet', 'HDR available']","['Action, Adventure, Racing, Sports']",Ghost Games,Electronic Arts,"8 Nov, 2019",https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_7_7_7000_150_6,$69.99
Songs of Syx,Overwhelmingly Positive,"(3,190)","['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Indie, Simulation, Strategy, Early Access']",Gamatron AB,Gamatron AB,"21 Sep, 2020",https://store.steampowered.com/app/1162750/Songs_of_Syx/?snr=1_7_7_7000_150_6,$12.49
Phoenix Wright: Ace Attorney Trilogy,Overwhelmingly Positive,"(21,577)",['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",['Adventure'],"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","9 Apr, 2019",https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy/?snr=1_7_7_7000_150_6,$22.49
Thief,Mostly Positive,"(15,961)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']","['Action, Adventure']",Eidos-Montréal,Eidos Interactive Corp.,"28 Feb, 2014",https://store.steampowered.com/app/239160/Thief/?snr=1_7_7_7000_150_6,$1.49
HELLDIVERS™ Dive Harder Edition,Very Positive,"(19,738)",['Action'],"['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",['Action'],Arrowhead Game Studios,PlayStation PC LLC,"7 Dec, 2015",https://store.steampowered.com/app/394510/HELLDIVERS_Dive_Harder_Edition/?snr=1_7_7_7000_150_6,$19.99
Goose Goose Duck,Very Positive,"(58,651)","['Casual, Indie, Massively Multiplayer, Strategy, Free to Play']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","['Casual, Indie, Massively Multiplayer, Strategy, Free to Play']","Gaggle Studios, Inc.","Gaggle Studios, Inc.","3 Oct, 2021",https://store.steampowered.com/app/1568590/Goose_Goose_Duck/?snr=1_7_7_7000_150_6,Free
Pillars of Eternity,Very Positive,"(14,601)",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Commentary available', 'Remote Play on Tablet']",['RPG'],Obsidian Entertainment,Xbox Game Studios,"26 Mar, 2015",https://store.steampowered.com/app/291650/Pillars_of_Eternity/?snr=1_7_7_7000_150_7,$7.49
Left 4 Dead,Overwhelmingly Positive,"(45,002)",['Action'],"['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available', 'Remote Play on TV', 'Remote Play Together']",['Action'],Valve,Valve,"17 Nov, 2008",https://store.steampowered.com/app/500/Left_4_Dead/?snr=1_7_7_7000_150_7,$5.79
Sid Meier's Civilization® V,Overwhelmingly Positive,"(119,125)",['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']",['Strategy'],Firaxis Games,2K,"23 Sep, 2010",https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/?snr=1_7_7_7000_150_7,$29.99
Crab Champions,Overwhelmingly Positive,"(16,433)","['Action, Adventure, Casual, Indie, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Action, Adventure, Casual, Indie, Early Access']",Noisestorm Limited,Noisestorm Limited,"1 Apr, 2023",https://store.steampowered.com/app/774801/Crab_Champions/?snr=1_7_7_7000_150_7,$9.99
Astro Colony,Very Positive,"(1,550)","['Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes Source SDK']","['Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access']",Terad Games,Terad Games,"7 Nov, 2022",https://store.steampowered.com/app/1614550/Astro_Colony/?snr=1_7_7_7000_150_7,$6.81
Universe Sandbox,Overwhelmingly Positive,"(19,589)","['Casual, Indie, Simulation, Early Access']","['Single-player', 'VR Supported', 'Steam Workshop', 'Steam Cloud']","['Casual, Indie, Simulation, Early Access']",Giant Army,Giant Army,"24 Aug, 2015",https://store.steampowered.com/app/230290/Universe_Sandbox/?snr=1_7_7_7000_150_7,$14.99
STAR WARS™ Episode I Racer,Very Positive,"(1,695)","['Action, Racing']",['Single-player'],"['Action, Racing']",LucasArts,Lucasfilm,"17 May, 1999",https://store.steampowered.com/app/808910/STAR_WARS_Episode_I_Racer/?snr=1_7_7_7000_150_7,$2.02
Sledders,Overwhelmingly Positive,(893),"['Racing, Simulation, Sports, Early Access']","['Single-player', 'Online PvP', 'Online Co-op']","['Racing, Simulation, Sports, Early Access']",Hanki Games,Bonus Stage Publishing,"5 Dec, 2023",https://store.steampowered.com/app/2486740/Sledders/?snr=1_7_7_7000_150_7,$12.49
Library Of Ruina,Very Positive,"(22,455)","['Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']","['Indie, RPG, Strategy']",ProjectMoon,ProjectMoon,"10 Aug, 2021",https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_7000_150_7,$29.99
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Mixed,"(1,897)","['Action, Adventure']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","['Action, Adventure']","CyberConnect2 Co., Ltd.",Bandai Namco Entertainment,"17 Nov, 2023",https://store.steampowered.com/app/1020790/NARUTO_X_BORUTO_Ultimate_Ninja_STORM_CONNECTIONS/?snr=1_7_7_7000_150_7,$39.99
Ravenswatch,Mostly Positive,"(5,313)","['Action, Adventure, Early Access']","['Single-player', 'Online Co-op', 'Steam Cloud']","['Action, Adventure, Early Access']",Passtech Games,Nacon,"6 Apr, 2023",https://store.steampowered.com/app/2071280/Ravenswatch/?snr=1_7_7_7000_150_7,$12.99
KovaaK's,Very Positive,"(28,021)","['Action, Indie, Simulation']","['Single-player', 'Steam Workshop', 'Stats', 'Steam Leaderboards', 'Includes level editor']","['Action, Indie, Simulation']",The Meta,The Meta,"3 Apr, 2018",https://store.steampowered.com/app/824270/KovaaKs/?snr=1_7_7_7000_150_7,$9.99
Trailmakers,Very Positive,"(16,721)","['Action, Adventure, Indie, Racing, Simulation']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Leaderboards', 'Remote Play on TV']","['Action, Adventure, Indie, Racing, Simulation']",Flashbulb,Flashbulb,"18 Sep, 2019",https://store.steampowered.com/app/585420/Trailmakers/?snr=1_7_7_7000_150_7,$24.99
RiichiCity - ACG mahjong games,Mixed,"(1,542)","['Casual, Sports, Strategy, Free to Play']","['Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Casual, Sports, Strategy, Free to Play']","Formirai Co., Ltd.","Formirai Co., Ltd.","8 Sep, 2022",https://store.steampowered.com/app/1954420/RiichiCity__ACG_mahjong_games/?snr=1_7_7_7000_150_7,Free
OPERATOR,Mostly Positive,"(1,193)","['Action, Indie, RPG, Simulation, Strategy, Early Access']","['Single-player', 'Online Co-op']","['Action, Indie, RPG, Simulation, Strategy, Early Access']",vector 2,vector 2,"1 Aug, 2023",https://store.steampowered.com/app/1913370/OPERATOR/?snr=1_7_7_7000_150_7,$19.99
NUKITASHI,Overwhelmingly Positive,(851),['Adventure'],"['Single-player', 'Steam Cloud']",['Adventure'],Qruppo,Shiravune,"23 Jun, 2023",https://store.steampowered.com/app/2399220/NUKITASHI/?snr=1_7_7_7000_150_7,$8.74
Eco,Very Positive,"(9,636)","['Indie, Simulation, Early Access']","['Single-player', 'Online Co-op', 'LAN Co-op']","['Indie, Simulation, Early Access']",Strange Loop Games,Strange Loop Games,"6 Feb, 2018",https://store.steampowered.com/app/382310/Eco/?snr=1_7_7_7000_150_7,$14.99
Draw & Guess,Very Positive,"(27,559)","['Casual, Indie']","['Online PvP', 'Online Co-op', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']","['Casual, Indie']",Acureus,Acureus,"12 Mar, 2021",https://store.steampowered.com/app/1483870/Draw__Guess/?snr=1_7_7_7000_150_7,$2.99
Kingdom Rush - Tower Defense,Overwhelmingly Positive,"(10,333)",['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",['Strategy'],Ironhide Game Studio,Ironhide Game Studio,"6 Jan, 2014",https://store.steampowered.com/app/246420/Kingdom_Rush___Tower_Defense/?snr=1_7_7_7000_150_7,$5.99
TEKKEN 7,Very Positive,"(63,262)","['Action, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']","['Action, Sports']",BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,"2 Jun, 2017",https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_7000_150_7,$24.99
Psychonauts 2,Overwhelmingly Positive,"(8,800)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play Together']","['Action, Adventure']",Double Fine Productions,Xbox Game Studios,"25 Aug, 2021",https://store.steampowered.com/app/607080/Psychonauts_2/?snr=1_7_7_7000_150_7,$20.39
Gems of War - Puzzle RPG,Mostly Positive,"(9,592)","['Action, Adventure, Casual, RPG, Strategy, Free to Play']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']","['Action, Adventure, Casual, RPG, Strategy, Free to Play']",Infinity Plus 2,505 Games,"20 Nov, 2014",https://store.steampowered.com/app/329110/Gems_of_War__Puzzle_RPG/?snr=1_7_7_7000_150_7,Free
Mass Effect™ Legendary Edition,Very Positive,"(39,442)","['Action, RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Remote Play on TV']","['Action, RPG']",BioWare,Electronic Arts,"14 May, 2021",https://store.steampowered.com/app/1328670/Mass_Effect_Legendary_Edition/?snr=1_7_7_7000_150_7,$59.99
SANABI,Overwhelmingly Positive,"(18,560)","['Action, Adventure, Indie']","['Single-player', 'Steam Cloud']","['Action, Adventure, Indie']",WONDER POTION,NEOWIZ,"9 Nov, 2023",https://store.steampowered.com/app/1562700/SANABI/?snr=1_7_7_7000_150_7,$14.38
Kingdom Rush Frontiers - Tower Defense,Overwhelmingly Positive,"(7,307)",['Strategy'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",['Strategy'],Ironhide Game Studio,Ironhide Game Studio,"25 Jul, 2016",https://store.steampowered.com/app/458710/Kingdom_Rush_Frontiers__Tower_Defense/?snr=1_7_7_7000_150_7,$5.99
Tropico 6,Very Positive,"(16,625)","['Simulation, Strategy']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV']","['Simulation, Strategy']",Limbic Entertainment,Kalypso Media,"29 Mar, 2019",https://store.steampowered.com/app/492720/Tropico_6/?snr=1_7_7_7000_150_7,$39.99
CounterSide,Mostly Positive,"(2,973)","['RPG, Free to Play']","['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","['RPG, Free to Play']","Studiobside Co.,Ltd","Studiobside Co.,Ltd","1 Sep, 2022",https://store.steampowered.com/app/1976440/CounterSide/?snr=1_7_7_7000_150_7,Free
Call of Duty®: Modern Warfare® 2 (2009),Very Positive,"(30,672)",['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",['Action'],Infinity Ward,Activision,"12 Nov, 2009",https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2_2009/?snr=1_7_7_7000_150_7,$19.99
The Survivalists,Mostly Positive,"(5,318)","['Action, Adventure, Casual, Indie']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Action, Adventure, Casual, Indie']",Team17,Team17,"9 Oct, 2020",https://store.steampowered.com/app/897450/The_Survivalists/?snr=1_7_7_7000_150_7,$12.49
Cookie Clicker,Overwhelmingly Positive,"(55,426)","['Casual, Indie, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Casual, Indie, Simulation, Strategy']",Orteil,Playsaurus,"1 Sep, 2021",https://store.steampowered.com/app/1454400/Cookie_Clicker/?snr=1_7_7_7000_150_7,$2.99
STALCRAFT,Mostly Positive,"(38,643)","['Action, Adventure, Massively Multiplayer, RPG']","['MMO', 'Online PvP', 'Online Co-op', 'In-App Purchases']","['Action, Adventure, Massively Multiplayer, RPG']",EXBO,EXBO,"9 Dec, 2022",https://store.steampowered.com/app/1818450/STALCRAFT/?snr=1_7_7_7000_150_7,Free
Nioh 2 – The Complete Edition,Very Positive,"(27,496)","['Action, RPG']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'HDR available']","['Action, RPG']","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","5 Feb, 2021",https://store.steampowered.com/app/1325200/Nioh_2__The_Complete_Edition/?snr=1_7_7_7000_150_7,$41.69
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Very Positive,"(64,864)","['Action, Adventure']","['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Action, Adventure']",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,"5 Feb, 2016",https://store.steampowered.com/app/349040/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_4/?snr=1_7_7_7000_150_7,$12.99
The Texas Chain Saw Massacre,Mostly Positive,"(13,931)","['Action, Indie']","['Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Action, Indie']",Sumo Digital,Gun Interactive,"18 Aug, 2023",https://store.steampowered.com/app/1433140/The_Texas_Chain_Saw_Massacre/?snr=1_7_7_7000_150_7,$18.99
Thief Simulator 2,Very Positive,"(2,754)","['Action, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Action, Indie, Simulation']",CookieDev,PlayWay S.A.,"4 Oct, 2023",https://store.steampowered.com/app/1332720/Thief_Simulator_2/?snr=1_7_7_7000_150_7,$19.99
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,Overwhelmingly Positive,"(2,242)",['Adventure'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",['Adventure'],LucasArts,LucasArts,"7 Jul, 2010",https://store.steampowered.com/app/32460/Monkey_Island_2_Special_Edition_LeChucks_Revenge/?snr=1_7_7_7000_150_7,$2.02
Sands of Salzaar,Very Positive,"(20,497)","['Adventure, Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']","['Adventure, Indie, RPG, Strategy']",汉家松鼠Han-Squirrel Studio,XD,"16 Dec, 2021",https://store.steampowered.com/app/1094520/Sands_of_Salzaar/?snr=1_7_7_7000_150_7,$7.49
Armored Warfare,Mixed,"(4,183)","['Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Simulation, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Steam Turn Notifications']","['Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Simulation, Strategy, Free to Play']",Obsidian Entertainment,Wishlist Games,"8 Oct, 2015",https://store.steampowered.com/app/443110/Armored_Warfare/?snr=1_7_7_7000_150_7,Free
Indiana Jones® and the Emperor's Tomb™,Very Positive,(760),"['Action, Adventure']","['Single-player', 'Steam Cloud']","['Action, Adventure']",LucasArts,Lucasfilm,"24 Feb, 2003",https://store.steampowered.com/app/560430/Indiana_Jones_and_the_Emperors_Tomb/?snr=1_7_7_7000_150_7,$1.25
PlanetSide 2,Very Positive,"(71,230)","['Action, Massively Multiplayer, Free to Play']","['MMO', 'Online PvP', 'Steam Trading Cards', 'Steam Cloud']","['Action, Massively Multiplayer, Free to Play']",Rogue Planet Games,Daybreak Game Company,"20 Nov, 2012",https://store.steampowered.com/app/218230/PlanetSide_2/?snr=1_7_7_7000_150_7,Free
Automation - The Car Company Tycoon Game,Very Positive,"(10,167)","['Indie, Racing, Simulation, Strategy, Early Access']","['Single-player', 'Steam Workshop']","['Indie, Racing, Simulation, Strategy, Early Access']",Camshaft Software Ltd,Camshaft Software Ltd,"12 Mar, 2015",https://store.steampowered.com/app/293760/Automation__The_Car_Company_Tycoon_Game/?snr=1_7_7_7000_150_7,$29.99
