Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Operation: Harsh Doorstop,Mostly Positive,"(10,883)","['Action, Casual, Indie, Simulation, Strategy, Free to Play, Early Access']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Workshop', 'Includes level editor']","['Action, Casual, Indie, Simulation, Strategy, Free to Play, Early Access']",Drakeling Labs,,"15 Feb, 2023",https://store.steampowered.com/app/736590/Operation_Harsh_Doorstop/?snr=1_7_7_7000_150_42,Free
The Awakener: Forgotten Oath,Mostly Positive,(136),"['Action, RPG']","['Single-player', 'Steam Cloud']","['Action, RPG']",TANER GAMES,Gamera Games,"7 Nov, 2023",https://store.steampowered.com/app/2527660/The_Awakener_Forgotten_Oath/?snr=1_7_7_7000_150_42,$16.99
Model Builder,Mostly Positive,(961),"['Casual, Simulation']","['Single-player', 'Steam Achievements']","['Casual, Simulation']",Moonlit S.A.,Green Man Gaming Publishing,"8 Feb, 2022",https://store.steampowered.com/app/1164250/Model_Builder/?snr=1_7_7_7000_150_42,$10.49
aerofly RC 8,Very Positive,(86),['Simulation'],"['Single-player', 'LAN PvP', 'Shared/Split Screen PvP', 'VR Supported']",['Simulation'],IPACS,IPACS,"5 Feb, 2021",https://store.steampowered.com/app/1507210/aerofly_RC_8/?snr=1_7_7_7000_150_42,$79.99
Home Designer Makeover Blast,Mostly Positive,(115),"['Casual, Simulation, Free to Play']","['Single-player', 'Steam Achievements', 'In-App Purchases', 'Profile Features Limited ']","['Casual, Simulation, Free to Play']",Tamalaki,Matryoshka,"17 Oct, 2023",https://store.steampowered.com/app/2367560/Home_Designer_Makeover_Blast/?snr=1_7_7_7000_150_42,Free
Star Realms,Very Positive,"(1,838)",['Strategy'],"['Single-player', 'Cross-Platform Multiplayer', 'Remote Play Together']",['Strategy'],"Wise Wizard Games, LLC","Wise Wizard Games, LLC","8 Mar, 2016",https://store.steampowered.com/app/438140/Star_Realms/?snr=1_7_7_7000_150_42,Free
Erannorth Chronicles,Very Positive,(310),"['Adventure, Indie, RPG, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']","['Adventure, Indie, RPG, Strategy']",Spyridon Thalassinos,Spyridon Thalassinos,"17 Sep, 2021",https://store.steampowered.com/app/1580800/Erannorth_Chronicles/?snr=1_7_7_7000_150_42,$10.50
Love Esquire - RPG/Dating Sim/Visual Novel,Very Positive,(919),"['Indie, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud']","['Indie, RPG, Simulation']",Yangyang Mobile,Yangyang Mobile,"8 Oct, 2019",https://store.steampowered.com/app/849740/Love_Esquire__RPGDating_SimVisual_Novel/?snr=1_7_7_7000_150_42,$24.99
Beat Hazard 2,Very Positive,"(1,295)","['Action, Casual, Indie']","['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'VR Supported', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play Together']","['Action, Casual, Indie']",Cold Beam Games,Cold Beam Games,"16 Oct, 2019",https://store.steampowered.com/app/618740/Beat_Hazard_2/?snr=1_7_7_7000_150_42,$18.99
Sorcery! Parts 1 and 2,Very Positive,(484),"['Adventure, Indie, RPG']",['Single-player'],"['Adventure, Indie, RPG']",inkle Ltd,inkle Ltd,"2 Feb, 2016",https://store.steampowered.com/app/411000/Sorcery_Parts_1_and_2/?snr=1_7_7_7000_150_42,$12.99
Crawl Tactics,Mostly Positive,(48),"['Casual, Indie, RPG, Strategy']","['Single-player', 'Steam Cloud']","['Casual, Indie, RPG, Strategy']",icefill,icefill,"9 Dec, 2022",https://store.steampowered.com/app/1290750/Crawl_Tactics/?snr=1_7_7_7000_150_42,$19.99
